s,p,d,c,o,id,n,Long,Lat
low,12,1210,2142,KRAK,149200300,MUSZYNA,20.891944444444444,49.339444444444446
low,12,1210,2142,KRAK,149200290,MUSZYNA-MILIK,20.885277777777777,49.35
low,04,0410,1883,POZN,153170100,NAKŁO-ZACHÓD,17.56222222222222,53.12361111111111
low,20,2005,261,SOWR,152230090,NAREW,23.522777777777776,52.91583333333333
low,06,0620,24,KRAK,150230010,NIELISZ,23.041111111111114,50.808611111111105
low,18,1804,225,KRAK,149220210,NIENOWICE,22.916944444444447,49.937777777777775
low,08,0809,15,WROC,152150050,NIETKÓW,15.3475,52.046388888888885
low,18,1812,229,KRAK,150220030,NISKO,22.192777777777778,50.519999999999996
low,08,0804,15,WROC,151150150,NOWA SÓL,15.721666666666668,51.80222222222222
low,08,0806,1889,POZN,152150190,NOWE DREZDENKO,15.8375,52.850833333333334
low,12,1262,2149,KRAK,149200240,NOWY SĄCZ,20.68722222222222,49.62722222222222
low,12,1262,2149,KRAK,149200250,NOWY SĄCZ,20.695833333333333,49.625277777777775
low,12,1211,2141,KRAK,149200030,NOWY TARG,20.03111111111111,49.48444444444444
low,12,1211,2141,KRAK,149200050,NOWY TARG-KOWANIEC,20.053611111111113,49.48694444444445
low,16,1607,12,WROC,150170060,NYSA,17.341666666666665,50.48111111111111
low,14,1423,2548,SOWR,151200080,ODRZYWÓŁ,20.56277777777778,51.519444444444446
low,06,0619,267143,KRAK,151230030,OKUNINKA,23.522777777777776,51.52166666666667
low,18,1817,223,KRAK,149220030,OLCHOWCE,22.21861111111111,49.55611111111111
low,24,2415,115,WROC,149180300,OLZA,18.32638888888889,49.95472222222222
low,02,0215,13,WROC,150170040,OŁAWA,17.30638888888889,50.94638888888888
low,10,1007,2548,SOWR,151200040,OPOCZNO,20.300833333333333,51.38138888888889
lowOutdated,12,1215,2134,KRAK,149190260,OSIELEC,19.739166666666666,49.68333333333333
lowOutdated,10,1017,181,POZN,151180100,OSJAKÓW,18.785,51.285555555555554
low,12,1213,2132,KRAK,150190160,OŚWIĘCIM,19.21861111111111,50.04
lowOutdated,06,0601,2671448,KRAK,152230050,PERKOWICE,23.285,51.99638888888889
low,02,0206,16,WROC,150150050,PIECHOWICE,15.588333333333335,50.85
low,02,0212,16,WROC,150150060,PILCHOWICE,15.640555555555554,50.96388888888889
low,30,3019,1886,POZN,153160180,PIŁA,16.739444444444445,53.151111111111106
low,10,1011,1832,POZN,151180160,PODDĘBICE,18.949444444444445,51.891666666666666
lowOutdated,10,1003,182,POZN,151180140,PODGÓRZE,18.943055555555556,51.465
low,02,0206,16,WROC,150150190,PODGÓRZYN,15.68361111111111,50.82027777777778
low,26,2612,2178,KRAK,150210100,POŁANIEC,21.285,50.43472222222222
low,08,0802,17,WROC,152140130,POŁĘCKO,14.892222222222221,52.052499999999995
low,02,0225,174,WROC,150140010,PORAJÓW,14.821388888888889,50.88722222222222
low,12,1217,2141,KRAK,149200010,PORONIN,20.003055555555555,49.33722222222222
lowOutdated,06,0601,267144,KRAK,152230020,POROSIUKI,23.058611111111112,52.019999999999996
low,30,3010,183,POZN,152180060,POSOKA,18.222499999999997,52.20305555555556
low,28,2805,2628,SOWR,153220080,PROSTKI,22.439166666666665,53.70055555555556
low,22,2204,48,GDYN,154180260,PRUSZCZ GDAŃSKI_Kanał,18.63,54.25333333333333
low,24,2401,212,KRAK,150190120,PRZECZYCE,19.17777777777778,50.42722222222222
low,10,1012,254,SOWR,151190090,PRZEDBÓRZ,19.875,51.089444444444446
low,18,1862,223,KRAK,149220190,PRZEMYŚL,22.76722222222222,49.78472222222222
low,08,0811,174,WROC,151140030,PRZEWOŹNIKI,14.821666666666667,51.525277777777774
low,18,1807,226,KRAK,149210150,PUŁAWY,21.906666666666666,49.49
low,06,0614,23,KRAK,151210190,PUŁAWY-AZOTY,21.945555555555554,51.445277777777775
low,18,1803,218,KRAK,150210130,PUSTKÓW,21.465,50.14333333333333
low,24,2405,116,WROC,150180170,PYSKOWICE,18.58888888888889,50.38638888888889
low,12,1211,2138,KRAK,149190340,RABKA 2,19.948888888888888,49.61361111111111
low,24,2411,115,WROC,150180060,RACIBÓRZ-MIEDONIA,18.22972222222222,50.121944444444445
low,20,2012,2622,SOWR,153220240,RACZKI,22.78611111111111,53.990833333333335
low,24,2475,212,KRAK,150190080,RADOCHA,19.140277777777776,50.26083333333333
low,18,1818,229,KRAK,150210210,RADOMYŚL,21.930833333333336,50.67361111111111
low,12,1206,213,KRAK,149190270,RADZISZÓW,19.80888888888889,49.94
low,24,2417,2132,KRAK,149190050,RAJCZA,19.116388888888892,49.513888888888886
low,26,2604,2178,KRAK,150210010,RAKÓW,21.02861111111111,50.67611111111111
low,14,1407,252,SOWR,151210060,ROGOŻEK,21.358611111111113,51.635555555555555
low,18,1818,229,KRAK,150220020,RUDA JASTKOWSKA,22.139722222222222,50.597500000000004
low,06,0603,267143,KRAK,151230050,RUDA-OPALIN,23.584722222222222,51.25666666666667
low,12,1213,2134,KRAK,149190160,RUDZE,19.4425,49.961666666666666
low,24,2473,115,WROC,150180130,RYBNIK-STODOŁY,18.483055555555556,50.15416666666667
low,18,1813,224,KRAK,149220160,RYBOTYCZE,22.638333333333332,49.654444444444444
low,26,2611,234,KRAK,150210040,RZEPIN,21.091944444444444,50.97277777777778
low,18,1863,226,KRAK,150220010,RZESZÓW,22.015555555555554,50.03972222222222
low,18,1808,227,KRAK,150220070,RZUCHÓW,22.501944444444444,50.246944444444445
low,02,0226,138,WROC,151160020,RZYMÓWKA,16.025555555555556,51.13944444444444
low,26,2609,219,KRAK,150210170,SANDOMIERZ,21.746111111111112,50.6725
low,22,2206,298,GDYN,154180010,SARNOWY,18.016111111111112,54.07277777777778
low,08,0805,17,WROC,152140110,SĄDÓW,14.8475,52.21944444444445
low,20,2005,261,SOWR,152230120,SIEMIANÓWKA,23.75722222222222,52.94027777777777
low,06,0613,248,KRAK,151220110,SIEMIEŃ,22.778333333333332,51.643055555555556
low,18,1807,226,KRAK,149210160,SIENIAWA,21.93,49.56777777777778
low,10,1014,183,POZN,151180080,SIERADZ,18.741944444444446,51.6
low,12,1201,213,KRAK,150200060,SIEROSŁAWICE,20.456666666666667,50.13194444444444
low,14,1427,2756,SOWR,152190110,SIERPC,19.670833333333334,52.856944444444444
low,22,2212,472,GDYN,154170030,SKARSZÓW DOLNY,17.11861111111111,54.365
lowOutdated,12,1215,2134,KRAK,149190220,SKAWICA DOLNA,19.66361111111111,49.68611111111111
low,24,2403,211,KRAK,149180100,SKOCZÓW,18.791666666666668,49.80333333333333
low,16,1609,12,WROC,150170140,SKOROGOSZCZ,17.675,50.761944444444445
low,08,0805,17,WROC,152140050,SŁUBICE,14.555555555555557,52.34805555555556
low,06,0609,246,KRAK,151220100,SOBIANOWICE,22.688055555555557,51.30166666666666
low,22,2201,472,GDYN,154170120,SOSZYCA,17.579722222222223,54.25
low,12,1211,2141,KRAK,149200140,SROMOWCE WYŻNE,20.35388888888889,49.400555555555556
low,16,1611,118,WROC,150180100,STANISZCZE WIELKIE,18.342499999999998,50.663333333333334
low,32,3214,198,POZN,153150010,STARGARD,15.040833333333333,53.35027777777778
low,08,0802,16,WROC,152150020,STARY RADUSZEC,15.07861111111111,52.03638888888889
low,26,2612,2178,KRAK,150210060,STASZÓW,21.173055555555557,50.55638888888888
low,22,2205,48,GDYN,154179991,STĘŻYCA,17.954444444444444,54.20666666666667
low,20,2002,261,SOWR,153220130,STRĘKOWA GÓRA,22.538611111111113,53.219722222222224
low,12,1209,2138,KRAK,149190310,STRÓŻA,19.924722222222222,49.79694444444444
low,06,0604,267143,KRAK,150240010,STRZYŻÓW,24.035833333333336,50.839444444444446
low,18,1801,221,KRAK,149220180,STUPOSIANY,22.683611111111112,49.18583333333333
low,12,1215,2134,KRAK,149190210,SUCHA BESKIDZKA,19.608611111111113,49.739444444444445
low,10,1010,254,SOWR,151190100,SULEJÓW-KOPALNIA,19.88611111111111,51.343611111111116
low,20,2002,2616,SOWR,153230110,SUPRAŚL,23.33833333333333,53.212500000000006
low,06,0606,24,KRAK,150230060,SURHÓW,23.268055555555556,50.93694444444444
low,22,2202,292,GDYN,153170060,SWORNEGACIE,17.498333333333335,53.859722222222224
low,22,2202,292,GDYN,153170070,SWORNEGACIE,17.509444444444444,53.8825
low,24,2475,212,KRAK,150190070,SZABELNIA,19.136666666666667,50.25944444444445
low,02,0208,12,WROC,150160110,SZALEJÓW DOLNY,16.604722222222225,50.41972222222222
low,18,1817,222,KRAK,149220020,SZCZAWNE,22.150277777777777,49.40361111111111
low,12,1204,217,KRAK,150210020,SZCZUCIN,21.077222222222222,50.32694444444445
low,20,2001,262,SOWR,153230070,SZTABIN,23.116388888888892,53.67194444444444
low,02,0226,138,WROC,151150170,ŚWIERZAWA,15.887777777777778,51.01777777777777
low,06,0615,248,KRAK,151220080,TCHÓRZEW,22.55611111111111,51.67916666666667
low,18,1821,221,KRAK,149220100,TERKA,22.429166666666667,49.29972222222222
low,02,0208,12,WROC,150160080,TŁUMACZÓW,16.43611111111111,50.551944444444445
low,18,1805,218,KRAK,149210060,TOPOLINY,21.443333333333335,49.724722222222226
low,04,0463,291,GDYN,153180090,TORUŃ,18.6075,53.007777777777775
low,06,0617,24,KRAK,151230010,TRAWNIKI,23.00111111111111,51.13861111111111
low,12,1211,2141,KRAK,149200110,TRYBSZ 2,20.1175,49.41777777777777
low,18,1814,226,KRAK,150220080,TRYŃCZA,22.547222222222224,50.16222222222222
lowOutdated,32,3205,42,GDYN,154150010,TRZEBIATÓW,15.260833333333334,54.06361111111111
low,12,1211,2141,KRAK,149200150,TYLMANOWA,20.386944444444445,49.51722222222222
low,24,2417,2132,KRAK,149190040,UJSOŁY,19.11722222222222,49.4925
low,30,3019,1885,POZN,153160170,UJŚCIE,16.730277777777776,53.05472222222222
low,24,2403,211,KRAK,149180110,USTROŃ-OBŁAZIEC,18.85027777777778,49.68055555555555
low,12,1205,218,KRAK,149210200,UŚCIE GORLICKIE-ZDYNIA,21.14361111111111,49.5175
low,14,1465,25,SOWR,152210170,WARSZAWA-BULWARY,21.020833333333332,52.24722222222222
low,14,1465,25,SOWR,152210040,WARSZAWA-NADWILANÓWKA,21.108055555555556,52.186388888888885
low,26,2611,234,KRAK,151210010,WĄCHOCK,21.01888888888889,51.075833333333335
low,30,3021,185,POZN,152170030,WIERZENICA,17.07138888888889,52.45916666666667
low,32,3217,18865994,POZN,153160110,WIESIÓŁKA,16.612222222222222,53.27166666666667
low,06,0606,24,KRAK,150230020,WIRKOWICE,23.098888888888887,50.86611111111111
low,24,2403,211,KRAK,149180140,WISŁA,18.90083333333333,49.63194444444444
low,24,2403,211,KRAK,149180160,WISŁA-CZARNE,18.91861111111111,49.61888888888889
low,24,2403,211,KRAK,149180180,WISŁA-CZARNE (Biała Wisełka),18.935555555555556,49.61805555555556
low,24,2403,211,KRAK,149180200,WISŁA-CZARNE (Czarna Wisełka),18.926111111111112,49.6075
low,06,0614,23,KRAK,151220040,WITOWICE,22.08611111111111,51.409166666666664
low,26,2604,234,KRAK,150210220,WŁOCHY,21.146944444444443,50.9075
low,04,0464,277,SOWR,152190030,WŁOCŁAWEK,19.069444444444443,52.663333333333334
low,06,0619,267143,KRAK,151230040,WŁODAWA,23.56638888888889,51.55138888888889
low,14,1417,256,SOWR,152210070,WÓLKA MLĄDZKA,21.330277777777777,52.13916666666667
low,14,1420,271,SOWR,152200150,WYCHÓDŹC,20.422777777777778,52.39388888888889
low,30,3019,1884,POZN,153170040,WYRZYSK,17.270833333333332,53.15083333333333
lowOutdated,14,1435,267149,SOWR,152210090,WYSZKÓW,21.452777777777776,52.58833333333334
low,14,1419,271,SOWR,152200030,WYSZOGRÓD,20.193055555555556,52.38472222222222
low,30,3217,18865994,POZN,153160190,ZABRODZIE,16.748333333333335,53.257222222222225
low,18,1817,222,KRAK,149220050,ZAGÓRZ,22.26888888888889,49.513333333333335
low,06,0620,24,KRAK,150220120,ZAKŁODZIE,22.860000000000003,50.7575
low,12,1217,2141,KRAK,149190320,ZAKOPANE-DOL.STRĄŻYSKA,19.935555555555556,49.27611111111111
low,12,1217,2141,KRAK,149190380,ZAKOPANE-HARENDA,19.9775,49.316111111111105
low,14,1426,267148,SOWR,152220010,ZALIWIE-PIEGAWKI,22.09472222222222,52.253055555555555
low,18,1804,2256,KRAK,150220130,ZAPAŁÓW,22.89,50.10055555555556
low,20,2061,2616,SOWR,153230060,ZAWADY,23.10666666666667,53.16027777777778
low,20,2002,261,SOWR,153220180,ZAWADY ,22.67361111111111,53.15694444444444
low,26,2609,23,KRAK,150210190,ZAWICHOST,21.863055555555558,50.80583333333333
low,12,1215,2134,KRAK,149190190,ZAWOJA,19.53527777777778,49.64055555555556
low,18,1807,218,KRAK,149210100,ZBOISKA,21.698333333333334,49.574444444444445
lowOutdated,20,2009,64,SOWR,154230040,ZELWA,23.45861111111111,54.026944444444446
low,12,1216,2149,KRAK,149200280,ZGŁOBICE,20.879722222222224,49.975
low,02,0225,174,WROC,151140060,ZGORZELEC,14.993611111111111,51.16111111111111
low,02,0225,174,WROC,151150010,ZGORZELEC,15.020555555555557,51.130833333333335
low,12,1216,2149,KRAK,150200170,ŻABNO,20.861944444444447,50.13194444444444
low,08,0810,16,WROC,151150080,ŻAGAŃ,15.315833333333334,51.61805555555556
low,08,0810,16,WROC,151150070,ŻAGAŃ,15.289722222222222,51.61388888888889
low,18,1819,226,KRAK,149210130,ŻARNOWA,21.8175,49.87777777777778
low,02,0208,12,WROC,150160200,ŻELAZNO,16.67388888888889,50.37305555555555
low,32,3206,197432,POZN,153140100,ŻELEWO,14.863333333333333,53.277499999999996
low,18,1805,218,KRAK,149210070,ŻÓŁKÓW,21.459166666666665,49.730000000000004
low,24,2417,2132,KRAK,149190100,ŻYWIEC,19.193333333333335,49.686388888888885
medium,28,2818,582,SOWR,154220010,BANIE MAZURSKIE,22.029722222222222,54.24777777777778
medium,02,0206,16,WROC,150150040,BARCINEK,15.60388888888889,50.943888888888885
medium,22,2209,54,GDYN,153190040,BĄGART,19.36916666666667,53.96611111111111
medium,14,1415,2654,SOWR,153210070,BIAŁOBRZEG BLIŻSZY,21.47861111111111,53.108333333333334
medium,20,2001,2622,SOWR,153220280,BIAŁOBRZEGI,22.96638888888889,53.80416666666667
medium,14,1401,254,SOWR,151200120,BIAŁOBRZEGI,20.95111111111111,51.6575
medium,02,0217,1336,WROC,150160250,BIAŁOBRZEZIE,16.892222222222223,50.80222222222222
medium,32,3201,44,GDYN,154150050,BIAŁOGARD,15.97638888888889,54.003055555555555
medium,20,2005,261,SOWR,152230190,BIAŁOWIEŻA-PARK,23.841388888888886,52.70138888888889
medium,10,1005,272,SOWR,152190100,BIELAWY,19.65,52.07361111111111
medium,32,3206,,POZN,152140010,BIELINEK,14.154166666666667,52.92916666666667
medium,24,,211,KRAK,150190050,BIERUŃ STARY,19.08861111111111,50.09277777777778
mediumOutdated,06,0617,24,KRAK,151220130,BISKUPICE,22.94527777777778,51.155
medium,08,0803,1878,POZN,152150100,BLEDZEW,15.421111111111111,52.5175
medium,02,0207,16,WROC,150150130,BŁAŻKOWA,15.986388888888888,50.739444444444445
medium,22,2213,294,GDYN,153180050,BŁĘDNO,18.34722222222222,53.70166666666667
medium,10,1012,181,POZN,151190060,BOBRY,19.405277777777776,51.025277777777774
medium,26,2602,216,KRAK,150200020,BOCHENIEC,20.311666666666667,50.802499999999995
medium,20,2003,267146,SOWR,152230010,BOĆKI,23.03805555555556,52.651666666666664
medium,02,0225,174,WROC,150140100,BOGATYNIA,14.995,50.89222222222222
medium,30,3017,14,WROC,151170060,BOGDAJ,17.56416666666667,51.51611111111111
mediumOutdated,30,3020,184,POZN,151170110,BOGUSŁAW,17.953611111111112,51.89833333333333
medium,22,2215,47,GDYN,154180070,BOLSZEWO,18.166666666666668,54.61083333333333
medium,14,1414,268,SOWR,152200120,BORKOWO,20.665555555555553,52.56166666666666
medium,28,2802,56,GDYN,154200010,BORNITY,20.047777777777778,54.18583333333333
medium,02,0217,1336,WROC,150160280,BORÓW,16.990555555555556,50.888888888888886
medium,22,2205,48,GDYN,154180230,BORUCINO,17.996111111111112,54.25277777777778
medium,22,2206,298,GDYN,153180030,BOŻEPOLE SZLACHECKIE,18.231111111111108,53.97638888888889
medium,16,1602,112,WROC,150170160,BRANICE,17.769444444444442,50.051111111111105
medium,28,2802,56,GDYN,154190140,BRANIEWO,19.82638888888889,54.384166666666665
medium,22,2214,298,GDYN,153180110,BRODY POMORSKIE,18.760277777777777,53.858333333333334
mediumOutdated,20,2012,64,SOWR,154220090,BRÓD STARY,22.880555555555556,54.13444444444444
medium,24,2413,212,KRAK,150190010,BRYNICA,19.000555555555554,50.472500000000004
medium,16,1601,13,WROC,150170090,BRZEG,17.46944444444444,50.86555555555556
medium,02,0222,13,WROC,151160170,BRZEG DOLNY,16.726666666666667,51.260555555555555
mediumOutdated,02,0211,138,WROC,151160040,BUKOWNA,16.046944444444446,51.309999999999995
medium,02,0207,16,WROC,150150120,BUKÓWKA,15.9575,50.71277777777778
medium,20,2007,262,SOWR,153220100,BURZYN,22.459166666666665,53.274166666666666
medium,28,2808,5848,SOWR,154210030,BYKOWO,21.110555555555557,54.220555555555556
medium,02,0208,12,WROC,150160150,BYSTRZYCA KŁODZKA,16.648611111111112,50.296388888888885
medium,02,0208,12,WROC,150160170,BYSTRZYCA KŁODZKA,16.648333333333333,50.29361111111111
medium,22,2212,476,GDYN,154170110,CECENOWO,17.56416666666667,54.654444444444444
medium,22,2212,472,GDYN,154160140,CHARNOWO,16.927500000000002,54.54611111111111
medium,30,3002,1889,POZN,152150230,CHEŁST,15.949166666666667,52.82916666666667
medium,20,2003,261,SOWR,152230030,CHRABOŁY,23.195833333333333,52.86222222222222
medium,02,0221,134,WROC,150160030,CHWALISZÓW,16.233055555555556,50.87777777777778
medium,22,2212,46,GDYN,154160130,CIECHOLUB,16.901944444444442,54.16583333333333
medium,24,2403,114,WROC,149180070,CIESZYN,18.63138888888889,49.74611111111111
medium,08,0809,15,WROC,152150130,CIGACICE,15.6075,52.033055555555556
mediumOutdated,18,1821,221,KRAK,149220080,CISNA,22.333333333333332,49.213055555555556
medium,14,1403,25,SOWR,151210070,CYGANÓWKA,21.450277777777778,51.86194444444445
mediumOutdated,20,2004,262,SOWR,153220090,CZACHY,22.44611111111111,53.378055555555555
medium,32,3203,1888,POZN,153160040,CZAPLINEK,16.22611111111111,53.56083333333333
medium,14,1415,265,SOWR,152210100,CZARNOWO,21.537222222222223,52.88333333333333
medium,24,2402,211,KRAK,149180250,CZECHOWICE-DZIEDZICE,18.98638888888889,49.91361111111111
medium,12,1206,213,KRAK,149190230,CZERNICHÓW-PROM,19.663055555555555,49.981388888888894
medium,26,2604,2164,KRAK,150200160,DALESZYCE,20.813055555555557,50.80083333333333
medium,32,3213,46,GDYN,154160150,DARŁOWO,16.380277777777778,54.439166666666665
medium,10,1010,254,SOWR,151190120,DĄBROWA,19.971666666666664,51.31388888888888
medium,12,1209,2138,KRAK,149200090,DOBCZYCE,20.08611111111111,49.88361111111111
medium,16,1605,117,WROC,150170220,DOBRA,17.896944444444443,50.448055555555555
medium,20,2007,264,SOWR,153210220,DOBRYLAS,21.864722222222223,53.28583333333333
medium,32,3210,1912,POZN,152140100,DOLSK,14.843055555555557,52.80277777777778
medium,16,1606,132,WROC,150170200,DOMARADZ,17.864444444444445,50.95416666666667
medium,30,3002,1888,POZN,152150240,DRAWINY,15.977777777777778,52.885555555555555
medium,32,3208,43,GDYN,153150070,DROZDOWO,15.564722222222223,53.99916666666667
medium,02,0202,134,WROC,150160140,DZIERŻONIÓW,16.64611111111111,50.725833333333334
medium,32,3207,35,GDYN,153140070,DZIWNÓW,14.731666666666667,54.02055555555555
medium,28,2804,54,GDYN,154190060,ELBLĄG,19.387777777777778,54.17194444444444
medium,04,0405,28,GDYN,153180140,ELGISZEWO,18.928333333333335,53.06083333333333
medium,28,2805,2628,SOWR,153220060,EŁK ,22.383333333333333,53.83166666666667
medium,22,2201,472,GDYN,154170070,GAŁĄŹNIA MAŁA,17.301666666666666,54.288333333333334
mediumOutdated,22,2212,474,GDYN,154170050,GARDNA WIELKA,17.16472222222222,54.63916666666667
medium,22,2261,299,GDYN,154180190,GDAŃSK - PRZEGALINA,18.929166666666667,54.31055555555555
medium,22,2261,299,GDYN,154180200,GDAŃSK - ŚWIBNO,18.935555555555556,54.33638888888889
medium,22,2210,299,GDYN,154180220,GDAŃSKA GŁOWA ,18.95138888888889,54.26694444444444
medium,22,2262,47,GDYN,154180120,GDYNIA,18.55527777777778,54.51777777777777
medium,04,0409,1882,POZN,152180010,GĘBICE,18.033333333333335,52.60055555555556
medium,02,0203,15,WROC,151160060,GŁOGÓW,16.059166666666666,51.67388888888889
medium,18,1803,218,KRAK,150210110,GŁOWACZOWA,21.3125,50.04972222222222
medium,30,3064,185,POZN,152160150,GŁUSZYNA,16.953333333333333,52.316944444444445
medium,02,0223,134,WROC,150160290,GNIECHOWICE,16.829166666666666,50.987500000000004
medium,32,3214,198,POZN,153150040,GOGOLEWO,15.1725,53.3825
medium,28,2818,582,SOWR,154220110,GOŁDAP 2,22.311944444444446,54.312777777777775
medium,12,1205,218,KRAK,149210020,GORLICE,21.17027777777778,49.65472222222222
medium,04,0409,1882,POZN,152180020,GORYSZEWO,18.03527777777778,52.62694444444445
medium,16,1608,184,POZN,151180070,GORZÓW ŚLĄSKI,18.434444444444445,51.03527777777778
medium,08,0801,189,POZN,152150040,GORZÓW WIELKOPOLSKI,15.253055555555555,52.730000000000004
medium,08,0806,1889,POZN,152150140,GOŚCIMIEC,15.638333333333334,52.775555555555556
medium,32,3206,,POZN,152140020,GOZDOWICE,14.317777777777778,52.76416666666667
medium,10,1003,182,POZN,151180180,GRABNO,18.985277777777778,51.458333333333336
medium,32,3213,46,GDYN,154160060,GRABOWO,16.4375,54.29833333333333
medium,16,1603,115,WROC,150180080,GRABÓWKA,18.27583333333333,50.28444444444444
medium,18,1820,219,KRAK,150210200,GRĘBÓW,21.911944444444444,50.575833333333335
medium,20,2002,2616,SOWR,153230160,GRÓDEK,23.671666666666667,53.095
medium,32,3206,,GDYN,153140030,GRYFINO,14.484444444444444,53.25694444444444
medium,20,2011,262,SOWR,153230130,HARASIMOWICZE,23.448888888888888,53.6625
medium,14,1410,267145,SOWR,152220060,HRUSZEW,22.720277777777778,52.32055555555556
medium,28,2815,28,GDYN,153200010,IDZBARK,20.03388888888889,53.67222222222222
medium,08,0810,16,WROC,151150030,IŁOWA,15.198333333333334,51.503055555555555
mediumOutdated,14,1426,267148,SOWR,152210140,JAGODNE,21.978055555555553,52.20166666666667
medium,02,0206,16,WROC,150150030,JAKUSZYCE,15.44,50.822500000000005
medium,26,2613,254,SOWR,150190350,JANUSZEWICE,19.960833333333333,50.94166666666666
medium,02,0264,134,WROC,151160190,JARNOŁTÓW,16.842777777777776,51.12166666666667
mediumOutdated,22,2201,474,GDYN,154170140,JASIEŃ,17.613611111111112,54.28944444444444
medium,12,1213,211,KRAK,149190060,JAWISZOWICE,19.121944444444445,49.972500000000004
medium,02,0205,138,WROC,151160090,JAWOR,16.189722222222223,51.04833333333333
medium,02,0261,16,WROC,150150070,JELENIA GÓRA,15.722222222222223,50.89861111111111
medium,02,0261,16,WROC,150150080,JELENIA GÓRA,15.721388888888889,50.91083333333333
medium,02,0221,134,WROC,150160060,JUGOWICE,16.403333333333332,50.73305555555556
medium,28,2818,582,SOWR,154220050,JURKISZKI,22.368055555555557,54.30916666666666
medium,28,2814,56,GDYN,153200030,KALISTY,20.195833333333333,53.91722222222222
medium,24,2417,2132,KRAK,149190020,KAMESZNICA,19.06972222222222,49.56805555555556
medium,02,0207,16,WROC,150160010,KAMIENNA GÓRA,16.03611111111111,50.78638888888889
medium,16,1609,132,WROC,150170150,KARŁOWICE,17.721666666666664,50.87861111111111
medium,20,2011,262,SOWR,153230020,KARPOWICZE,23.043333333333337,53.58527777777778
medium,10,1015,2726,SOWR,152200010,KĘSZYCE,20.13138888888889,52.13583333333333
medium,20,2012,68,SOWR,154220100,KLESZCZÓWEK,22.910555555555554,54.270833333333336
medium,24,2472,116,WROC,150180250,KŁODNICA,18.86416666666667,50.236666666666665
medium,02,0208,12,WROC,150160180,KŁODZKO,16.65861111111111,50.442499999999995
medium,10,1010,254,SOWR,151190080,KŁUDZICE,19.781944444444445,51.34916666666667
medium,30,3009,183,POZN,152180120,KOŁO,18.634444444444444,52.195277777777775
medium,32,3208,44,GDYN,154150030,KOŁOBRZEG,15.553333333333335,54.18666666666666
medium,30,3010,183,POZN,152180160,KONIN-MORZYSŁAW,18.29416666666667,52.230555555555554
medium,12,1211,2141,KRAK,149190280,KONIÓWKA,19.818055555555556,49.39555555555555
medium,26,2609,219,KRAK,150210160,KOPRZYWNICA,21.573055555555555,50.59583333333334
medium,02,0220,146,WROC,151160200,KORZEŃSKO,16.8725,51.53916666666667
medium,08,0801,189,POZN,152140070,KOSTRZYN NAD ODRĄ,14.662222222222223,52.581944444444446
medium,08,0801,,POZN,152140060,KOSTRZYN NAD ODRĄ,14.610555555555555,52.59916666666667
medium,32,3261,45,GDYN,154160030,KOSZALIN,16.18888888888889,54.18555555555555
medium,12,1263,2149,KRAK,149200320,KOSZYCE WIELKIE,20.949444444444445,49.99722222222222
medium,30,3016,186,POZN,152160110,KOWANÓWKO,16.836666666666666,52.66861111111111
medium,16,1603,117,WROC,150180030,KOŹLE,18.146666666666665,50.35194444444445
medium,12,1261,213,KRAK,150190340,KRAKÓW-BIELANY,19.843333333333334,50.040277777777774
medium,16,1605,117,WROC,150170240,KRAPKOWICE,17.968055555555555,50.477222222222224
medium,14,1411,2658,SOWR,153210020,KRASNOSIELC,21.154444444444444,53.03527777777778
medium,30,3018,184,POZN,151180060,KRASZEWICE,18.224999999999998,51.51916666666666
medium,04,0414,294,GDYN,153180060,KRĄPLEWICE,18.380833333333335,53.489444444444445
medium,28,2809,56,GDYN,154200020,KROSNO,20.172777777777778,54.130833333333335
medium,14,1432,272,SOWR,152200090,KRUBICE,20.451666666666664,52.23972222222222
medium,16,1606,132,WROC,150170210,KRZYWA GÓRA,17.878611111111113,50.86083333333333
medium,30,3002,1887,POZN,152160010,KRZYŻ,16.001666666666665,52.861666666666665
medium,02,0220,136,WROC,151170010,KRZYŻANOWICE,17.047500000000003,51.17111111111111
medium,20,2008,261,SOWR,153220230,KULESZE-CHOBOTKI,22.764722222222222,53.24166666666667
medium,28,2812,28,GDYN,153190130,KULIGI,19.690833333333334,53.42944444444444
medium,12,1205,218,KRAK,149210180,KUNKOWA,21.12527777777778,49.549166666666665
medium,10,1018,184,POZN,151180030,KUŹNICA SKAKAWSKA,18.131666666666668,51.27972222222222
medium,22,2207,52,GDYN,153180130,KWIDZYN,18.911388888888887,53.72222222222222
medium,12,1213,213,KRAK,150190360,LAS,19.38222222222222,50.035555555555554
medium,30,3023,183,POZN,152170130,LĄD,17.88611111111111,52.203611111111115
medium,16,1603,116,WROC,150180070,LENARTOWICE,18.235555555555557,50.3575
medium,02,0210,166,WROC,151150060,LEŚNA,15.286666666666667,51.02833333333333
medium,28,2803,28,GDYN,153190150,LIDZBARK,19.81861111111111,53.266666666666666
medium,02,0219,134,WROC,150160070,LUBACHÓW,16.43111111111111,50.76583333333333
medium,14,1402,268,SOWR,152200100,LUBERADZ,20.47722222222222,52.76138888888889
medium,08,0804,156,WROC,151150190,LUBIATÓW,15.970555555555556,51.92111111111111
medium,12,1209,2138,KRAK,149190370,LUBIEŃ,19.97833333333333,49.719722222222224
medium,12,1211,2141,KRAK,149190390,LUDŹMIERZ,19.986666666666668,49.45944444444445
