s,p,d,c,o,id,n,Long,Lat
unknown,14,1427,2756,SOWR,152190160,BABIEC,19.689444444444444,52.90222222222222
unknown,16,1607,12,WROC,150170050,BIAŁA NYSKA,17.297500000000003,50.433611111111105
unknown,02,0208,12,WROC,150160400,BOBOSZÓW,16.691666666666666,50.11472222222223
unknown,24,2401,212,KRAK,150180310,BOBROWNIKI,18.963055555555556,50.37444444444444
unknown,12,1218,213,KRAK,149190510,BRODY,19.69472222222222,49.86638888888889
unknown,18,1804,225,KRAK,149230020,BUDZYŃ,23.122222222222224,49.984722222222224
no-char-states,24,2464,181,POZN,150190390,CZĘSTOCHOWA 1,19.125,50.795833333333334
no-char-states,24,2464,181,POZN,150190400,CZĘSTOCHOWA 2,19.154166666666665,50.80611111111111
no-char-states,24,2464,181,POZN,150190410,CZĘSTOCHOWA 3,19.13277777777778,50.81388888888888
unknown,22,2212,474,GDYN,154179998,DAMNO,17.32611111111111,54.52916666666667
unknown,18,1807,226,KRAK,149210450,DARÓW,21.910555555555554,49.44361111111111
unknown,24,2404,181,POZN,150190470,DĄBEK,19.444166666666668,50.849444444444444
unknown,22,2211,47,GDYN,154180280,DĘBKI,18.0625,54.831388888888895
unknown,20,2008,262,SOWR,153220250,DOLISTOWO STARE,22.90694444444444,53.55333333333333
unknown,02,0223,134,WROC,150160430,DOMANICE,16.586388888888887,50.948611111111106
unknown,14,1428,272,SOWR,152209997,DURANÓW,20.239166666666666,52.19972222222222
unknown,16,1607,12,WROC,150170340,DZIEWIĘTLICE,17.085277777777776,50.41583333333333
unknown,02,0208,12,WROC,150160410,GAJNIK,16.703888888888887,50.19361111111111
unknown,12,1219,2138,KRAK,149200540,GDÓW 2,20.211666666666666,49.90138888888889
unknown,16,1607,12,WROC,150170070,GŁUCHOŁAZY,17.379444444444445,50.316111111111105
unknown,22,2212,474,GDYN,154170320,GŁUSZYNKO,17.453055555555554,54.49305555555556
unknown,12,1212,212,KRAK,150190270,GOLCZOWICE,19.602500000000003,50.36138888888889
unknown,02,0208,12,WROC,150160420,GOWORÓW,16.711944444444445,50.178888888888885
unknown,12,1219,213,KRAK,150200220,GRABIE,20.143333333333334,50.04527777777778
unknown,08,0802,174,WROC,151140190,GUBIN,14.734444444444444,51.94194444444444
unknown,08,0811,174,WROC,151140170,JANISZOWICE,14.653611111111111,51.77861111111111
unknown,12,1206,213,KRAK,150190420,JANUSZOWICE,19.890833333333333,50.151111111111106
unknown,16,1607,12,WROC,150170350,KAŁKÓW,17.196666666666665,50.400555555555556
unknown,24,2404,181,POZN,150190430,KAMIENICA POLSKA,19.154166666666665,50.68722222222222
unknown,18,1814,226,KRAK,149229998,KAŃCZUGA,22.420555555555556,49.980000000000004
unknown,32,3201,44,GDYN,154150070,KARLINO,15.869444444444445,54.038888888888884
unknown,10,1008,1832,POZN,151190130,KAZIMIERZ,19.2025,51.76611111111111
